NAME,ADDRESS,ZIP CODE,UNITS WITH INCOME/RENT LIMITS,HUD,SHA,STATE OF WA or COUNTY,WSHFC,CITY OF SEATTLE,YEAR PLACED IN SERVICE,COUNCIL DISTRICT
NewHolly Phase I,2951 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2951 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2953 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2953 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2955 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2955 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2957 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2957 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2959 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2961 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2961 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2963 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2967 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2969 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2971 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,2973 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3001 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3002 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3002 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3003 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3004 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3004 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3005 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3006 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3006 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3007 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3008 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3008 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3011 S BRIGHTON ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3011 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3011 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3011 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3012 S BRIGHTON ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3012 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3012 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3012 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3013 S BRIGHTON ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3013 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3013 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3014 S BRIGHTON ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3014 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3014 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3014 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3015 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3015 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3016 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3017 S BRIGHTON ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3017 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3017 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3017 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3018 S BRIGHTON ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3018 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3018 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3018 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3019 S BRIGHTON ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3019 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3020 S BRIGHTON ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3020 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3020 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3021 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3023 S BRIGHTON ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3023 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3023 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3024 S BRIGHTON ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3024 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3024 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3025 S BRIGHTON ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3025 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3025 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3026 S BRIGHTON ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3026 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3026 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3027 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3029 S BRIGHTON ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3029 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3029 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3030 S BRIGHTON ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3030 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3030 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3031 S BRIGHTON ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3031 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3031 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3032 S BRIGHTON ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3032 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3032 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3033 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3035 S BRIGHTON ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3035 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3036 S BRIGHTON ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3036 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3036 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3037 S BRIGHTON ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3037 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3038 S BRIGHTON ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3038 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3038 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3039 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3041 S BRIGHTON ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3041 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3042 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3042 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3043 S BRIGHTON ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3043 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3044 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3044 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3045 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3047 S BRIGHTON ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3047 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3048 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3048 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3050 S HOLLY PL,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3050 S WILLOW ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3101 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3101 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3102 S HOLLY ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3103 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3103 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3104 S HOLLY ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3105 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3105 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3106 S HOLLY ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3107 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3107 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3108 S HOLLY ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3109 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3111 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3111 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3112 S HOLLY ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3113 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3113 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3114 S HOLLY ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3115 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3115 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3116 S HOLLY ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3117 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3117 S WILLOW ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3118 S HOLLY ST,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,3121 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,3123 S HOLLY ST,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6501 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6501 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6502 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6503 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6503 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6504 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6505 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6505 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6506 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6507 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6507 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6508 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6509 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6509 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6510 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6513 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6513 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6514 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6515 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6515 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6516 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6519 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6519 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6520 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6521 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6521 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6522 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6525 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6525 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6526 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6527 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6527 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6528 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6531 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6532 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6533 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6534 31ST AVE S,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,6534 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6536 31ST AVE S,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,6537 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6538 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6539 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6540 31ST AVE S,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,6540 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6542 31ST AVE S,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,6542 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6543 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6544 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6545 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6548 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6550 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6552 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6554 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6711 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6712 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6713 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6714 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6715 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6716 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6717 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6718 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6720 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6721 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6722 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6723 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6724 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6725 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6726 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6727 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6728 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6730 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6731 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6732 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6732 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6733 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6734 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6734 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6735 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6736 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6736 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6737 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6738 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6738 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6740 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6741 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6742 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6742 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6743 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6744 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6744 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6745 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6746 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6746 SHAFFER AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6747 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6748 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6801 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6802 30TH AVE S,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,6803 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6804 30TH AVE S,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,6805 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6806 30TH AVE S,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,6807 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6808 30TH AVE S,98118,1, ,X, , ,X,1999,2
NewHolly Phase I,6811 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6813 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6815 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase I,6817 30TH AVE S,98108,1, ,X, , ,X,1999,2
NewHolly Phase II,7083 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7085 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7087 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7089 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7101 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7103 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7105 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7107 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7111 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7113 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7117 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7119 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7121 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7121 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7123 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7123 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7125 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7127 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7127 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7129 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7129 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7131 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7133 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7133 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7135 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7139 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7141 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7141 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7143 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7145 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7145 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7147 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7147 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7149 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7149 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7151 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7151 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7153 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7155 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7155 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7157 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7161 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7161 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7163 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7163 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7165 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7165 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7167 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7167 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7169 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7171 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7171 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7173 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7173 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7177 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7179 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7181 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7183 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7183 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7185 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7185 HOLLY PARK DR S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7187 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7189 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7191 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7193 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7195 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7201 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7203 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7205 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7207 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7209 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7211 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7213 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7215 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7221 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7223 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7225 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7227 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7229 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7231 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7233 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7241 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7243 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7245 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7247 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7249 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7251 38TH AVE S,98118,1, ,X, , ,X,2001,2
NewHolly Phase II,7253 38TH AVE S,98118,1, ,X, , ,X,2001,2
